text,sarcastic
" it isn't real  so it can't be true. That  folks  is because like the creationist's bible  the darwinist academic literature is the source and well-spring of all possible TRUTH.**Big surprise  since I'm vastly outnumbered here  too. Good thing that reality  truth  sanity  and rightness  are not matters of democratic vote and popularity contests. I guess. Except among you darwinists  of course.**No  it has not  despite what you and your girlfriend say. And  whether it supports my POV  as I believe it does  is not the point. The point is that my POV is valid  scientific  and becoming increasingly accepted  while your darwinist boat  riddled with leaks and worm holes from day one  is finally being allowed to sink to the bottom without further plugging up and bailing out."" Wabbits should stick to wettuce... science is beyond their ability to digest! ",1
"Wonder what ""euthanization"" is. Never heard of it before, and neither has the dictionary.",0
"I don't think people have a right to kills themselves (obviously not natural and obviously not legal right now). As for the other question, I wouldn't think a blatent disregard for the others health is morally ok.",0
"Dear Hypocrite,Do you wish to be a competent poster and actually respond to questions and requests? If so, please answer my request (on the other thread) and I will be happy to answer your questions.",1
will you stop fucking talking to me? damn. leave me the hell alone. what the fuck is wrong with you?,0
"If im your last resort, dont even bother..",0
Great start to the day Neros was shut and now I'm going akip on the bus 😴😵,1
"an image is not the original. a photo of you is not you, its an image of you. the image cannot be or replace the original, and isnt intended toregardless of how ""perfect"" the photocopier is, you cannot cash the ""perfect"" copy of the check. it may be a perfect replica, to the detail, but it is still only an image. the problem isnt the quality of the copying process, but the fact that the copy itself is just that, a copy, not the original",0
"Since when were proteins no longer structures? A basic freshmen tool for teaching is the phrase ""structure defines function.""",0
i’m watching a true crime doc while taylor reads harry potter fanfic this is the life i’ve always wanted,0
I’m getting the vaccine on Wednesday 😭😭😭,0
so woke up this morning and have missed my first lecture already lol BUT I did leave myself a chicken nugget to wake up to,0
"Oh, probably about as many as there are killed by bayonet lugs, pistol grips, heat shields, detachable magazines, and folding stocks.",0
"Is it a new definition of ""control"" that is needed? I was thinking maybe my definition of ""freedom"" was outdated.",1
So does this mean they have to get tougher on gun control or softer before the results go their way? That is the real question. My guess is that we are caught in the unhappy medium where going in either direction will be more successful than where we are now.,0
"He made a post suggesting you were a troll, it has been removed it seems. Anyway, glad to help.",0
Manslaughter involves a direct action that causes an unintentional death. Miscarriage is involuntary; besides the person suffering a miscarriage might well want to keep the baby. To equate miscarriage with manslaughter is preposterous.,0
"how did you overcome all the similiarities? nothing was ripped and i stated your question and my response. originally i could have made it clearer, but you could have also used the scroll bar. responses to specifics within a post dont carry forward. you would have to be willing to accept that proof. if your not then it isn't possible to prove it to your satisfaction is it. read the source i posted earlier. maybe we should let the church go back to allowing only priests to have bibles and if that doesn't work kill some skeptics.  i don't suppose jews, hindus, muslims and bhuddists qualify as non-believers or were you being area specific?",0
Sorry I've not been that active in chat! I have started an actual 9-5 job on top of finishing university! Hope everyone is doing good :D,0
the iranian govenment was visibly anti-american. did the filipino and dutch cases have that component? i am still quite convinced that americans would hate iran just as much as they accidentally caused american casualities.,0
"No doubt Matthew! We just have this lust for killing gays. Wow, you really nailed it. We actually are pretty well organized to. Darth Vader is the president of the VA chapter for example. We soon plan on launching a weapon that actually seeks out gays....not that this matters because anyone we don't like we put in the camps.   We have a national meeting in a few months in Montana. Maybe if you wear a black robe and do the secret handshake they won't know you are gay so then you can attend. We have really good food at these events.",1
"Well, you didn't have my experiences, now did you? Each woman who has an abortion coul have innumerous circumstances and experiences.",0
"Let me get this straight. You are going on Plato saying that not beleiving in Zeus, Mars, Apollo, et al. is like a diease in the brain as supporting Christianity?",0
"oh but he/ she is. his often speaks out to remind our dear mps that they are supposed to be leaders of our country, not school kids a playground. he does this by yelling 'order!' a lot. and he gets to wear a silly wig i think (or is that 'black rod'?) (ps, wilted_laughter is irish i think. your post sort of implies you think him english. calling an irishman 'english' is a crime even more serious than calling someone a 'liberal' in the usa :p)",1
"Oh, now you've got Obama leaving a mess in your hole, and James Carville blasting your hole (Spicy Cajunspunk)?Now Bubba's not so sure about wanting to plug/plough your hole. Boy you really do get around, EZ. That hole must be pretty wide and loose.",1
"there is one major difference between the democratic spending plans and the republican plan (for this election cycle anyway): dems want to repeal the tax cuts, so they have a methodology for paying for all of this. oh, and they haven't been too keen on sending men to mars either. and just a quick aside, was it legal to invade iraq? probably, b/c of the legislation broker cites. but i think he makes a logical leap when he extrapolates 'justified' from 'legal.' the calculus used to say this was a 'just' war is a very dangerous one, and if cross-applied could justify innumerable conflicts (how many nations can legitmately say that another nation has 'dangerous activities' that make it pose an 'imminent threat'? at the very least, the entire mid-east (arab/israel) would explode under that logic).",0
World government is just around the bend! What shall we call it...The Company...The Authority...The End?,1
what? i assume one is within one rights to be anti-gun. that's all.,0
"Just can't satisify ""them thar' Moralizers."" I remember the election of 1960, and how many were worried about JFK taking his ""orders from Rome."" Maybe that is why we are a land of laws, not of men.",1
becasue tehre is no merit to the behavior that would need special recognition. should people with attachment disorders be allowed to be polygamists? what is so special about homosexuality that it deserves to be treated different than other behaviors? remember there is no definitve evidence that it is genetic.,0
"Hardly any criminals go armed in England, and certainly not with guns. Burglars and muggers have enough sense to know that while getting done for burglary or mugging will not be pleasant, getting done for burglarly or mugging AND possession of a firearm will be far, far worse, assuming they survive the arrival of the armed response squad.",0
And posts like yours serve no purpose other than to detract from the subject at hand. The subject at hand involves how some people choose to fear the law-abiding and feel safer with the law-breakers. You've done absolutely nothing to dispute these facts and prove them wrong.,1
"Erm... we are? Levels of CO2 in the atmosphere are usually quoted as parts per million, currently a little over 380ppm, 150 years ago closer to 280. In 1970 about 330ppm.
 Carbon dioxide in the Earth's atmosphere - Wikipedia, the free encyclopedia",0
I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,1
"Heart bypass, prostate cancer.......I have a couple of Canadian friends who needed those surgeries and one was told he had a 4 month wait and the other a 6 month wait so they both came down to Bellingham Wash and had the Surgery within 2 weeks............",0
"Well, I guess you got something there. . . . . .can't put the cart before the hose!!",1
Am I the only one who thinks burrata is boring af?,0
"cute. but it misses the point. your rationale is like saying hadrian's wall is mis-named because hadrian wasn't out there putting or the rocks in place, but merely caused it to be made. i know the followers of many great leaders hid their leaders burial sites. for want of a better example i can think of attila the hun who was buried in a river 'somewhere'.",1
@TalkTalk how can you allow someone to be without internet for three days in 2019? Told I have to wait 72 hours so managers can check if other customers are effected before resolving the issue @guardianmoney,0
@32watto Neighbours,1
Liberty just went 95 yards on us with ease. Damn we’re so soft,0
Thought I’d try and watch ‘Lost’ and I am now so hooked. I love it #lost #DisneyPlusStar,0
"This is more accurate, but let me modify it a bit.
 Without evidence there is no reason to conclude that there MUST be a god.
 A lack of evidence does not ensure that there is no god, just that we can't assume that there is.",0
Is there anything more “Dad” than calling your dad for his social security number and him saying “I don’t know call your mother” ???,0
Happy Valentine's day I hope everyone gets pregnant so we can have more Scorpios in the world,0
if trees would simply stop producing flammable leaves climate change would not be an issue,1
"This is actually humorous coming from you who has absolutely no concept that you are a spiritual being, or the extra dimension of yourself which that reality means to you. In other words antonia, It is the epitome of self deceit to lie to oneself about who they are. And you define that darkness which is the great lie you represent so completely.",0
"i'm back!! had to re-visit the real world. anyway, how is it that you say i'm confused about my sexuality, because i don't approve of gay marriage?! that is weak! people always claim things like that when they have nothing else to say. i'm straight as hell, and you really don't know me engough to say diffrently. but you on the other hand must be confused.",1
You actually have some full insight into gays and what we have gone through and think were pathetic. Once again insults and a bigoted view Archie. You never cease to amaze me.,1
Bernie Sanders is the greatest president America will never have.,0
i think you may be very very suprised by roberts. i like some of the answers he is giving. i have a feeling you conservates may get f***cked. he is not as conservate as you think. besides even if he is conservate he certainly is not as conservate as the emoticonxcensored he is replacing.  as a citizen of virginia do you support this law that strips people of their wills and powers of attorny? http://leg1.state.va.us/cgi-bin/legp...41+ful+hb751s1 this is just a very mean law and will hurt many people.,0
does the grand canyon strike you as a 'crack' as well? like? what makes them so dangerous if it ain't their guns and their willingness to use them?  this assumes that no da is presently going after them. something i highly doubt.  diversionary tactic on your part. wouldn't making guns harder for them to acquire be helpful?,0
George Tiller shot to death at Wichita church | News Updates | Wichita Eagle,0
But we have an enumerated Constitutional RKBA. Apples to oranges.,0
"Nice try twisting my words, Simone. My post above was an example to show precedence, but you already knew that.
And for the record, I don't see ALL women as a disease, just the dumb ones. :p",1
"Make love not war man. I would just give him a smooch and buy him a drink.
emoticonXHoho",1
"Do you mean like Piltdown Man? It was displayed there for 40 years.   ""The Eoanthropus dawsoni, or Piltdown Man, was on display at the Natural History Museum in London for 40 years. It was removed when advanced dating techniques not only showed that the bones were only a few hundred years old, but that some of them weren't even human.""   http://www.mentalfloss.com/press_oklahoman2.htm   Do you guarantee that all of the other displays at the Museum are true? No, of course not. Many other things there said to be 'true' are only 'true' in a transient sense of the word (that only science seems to use)   http://www.clarku.edu/~piltdown/map_...klywiener.html Suggests that Piltdown Man had good science behind it, at the time.   Never-the-less the Natural History Museum provides many examples of artistic licence, such as the 'human-like' hand given to a restoration of Australopithecus, displayed at the museum.   ""Shattering the Myths of Darwinism"", p205",0
"i'm a communist and i like pie emoticonxdonno how dare you. i'm almost offended but am so intrigued by your avatar that i get a happy feeling inside and forget about it. but please, next time, please consider the communists when using them as an insult. emoticonxgood *although this post is mostly sarcastic, i am being a little bit serious.",1
"yet everything in that site is cited with sources such as cnn and what not. i understnad the florida right to life is not credible to our discussion(as they are not neutral) however the things they cite are...and that is what you should look at. so murder is a subjective term now...i laugh at that. your point was what again? they fact that vor didn't prove his case and never does? i don't understand....however, maybe if you looked at the sources on that site you would see that it is in the upper 90%s (however this is clinical abortions...not underground ones).",0
"ToE is a mechanistic theory -- it says life is like a machine. Machines aren't intelligent, they just do what they're made/programmed to do. Darwinists say lifeforms do what they do because of the way their particular genes program them. This is basic stuff.....yet you come along and say this isn't so. So which is it? Is life intelligent or not? If it is intelligent, what is illogical about believing life was designed intelligently by an intelligent designer? The intelligence had to come from somewhere. Where did the information in the DNA code come from?",0
"emoticonXRolleyes Drink Kool-Aid often? 
No major party in the US supports the mass murder of an entire race of people.",1
"Gee I wonder if it's bad for a father or mother to provide for their kids, since members of the KKK may do that too and agree with it. emoticonXRolleyes",1
my my you are up on the current events. Thanks for shedding light on this for everyone here.,0
Because you know the peer review process is biased. Anything submitted for peer review with a recognizable name like Dembski or Behe will be automatically rejected before the first word is read. The scientific community's problems are just that big.,0
"every Tom Holland movie i've seen is a masterpiece, i don't think it's coincidence. anyways watch Cherry on apple TV and The Devil All The Time on Netflix",0
"WHAT??? Jito, are you saying that motherhood is difficult? emoticonXWow Now that's a shock...",1
I finished my MBio in Biomedical science this week and today I found out I’m graduating with a final mark of 77% (distinction)🥳 so proud of myself,0
craving an ice pick lobotomy on this Friday afternoon,1
"And of course the Bible or rather the HUMAN author would say that....
",1
"Wizkid is the king, ok lol",1
I have heard of big-headed families. I have heard of square-headed families. I have even heard of Cone-headed families....but gay-headed families?There is just something not right about including the word gay and head in the same sentence. :p,1
"Based on what besides your own immediate knee-jerk denials?
You're always in the tank for the Bible bashers.",1
"again, please explain what possible benefits you forsee with teaching intelligent design. Please show me where it is anything than a belief. Evolution was always considered science. It used the scientific method, and offered evidence for everyone to see and peer review. Until the ""theory"" of intelligent design does that, I will always be forced to put quotes around the word theory, because it will simply be a religious belief.",0
"Sigh.
Try to not logically drop words out of statements from now on, and also try to understand what I am ACTUALLY saying.
Here, I guess I'd better repost our exchanges: apparently, after 2 seconds what was said seeps out of your mind.
",1
"Just because we interpret the available evidence differently, for you to assume from that, that we believers know nothing about the universe we inhabit is arrogance to the max.",0
you never voted for a democrat? well i'm glad i'm not blinded by faith like you! emoticonxangel a counter man at the local napa store who took good care of my parts needs ran for school board years ago (a democrat) and ~i~ voted for him!!!! am i an independent thinker or what? :p,1
"The most 2020 quote of the year:

Me: we should go to the Van Gogh Museum!
Little Brother: is that the donny with one ear?",1
"Well, to say it has no mental existence doesn't really tell the whole story. The fetus WILL have (more than likely) full mental existence in a very short time. It seems to me that if you ""view humanity with mental existance as important"" you'd also view as important that the unborn baby WILL indeed reach that point, in all likelihood. ",0
My tolerance for heat is near zero. Sweating putting washing out 🥵,0
"I guess we can take ""In God We Trust"" off our money and the courts will be a nightmare, what will they swear to tell the truth, the whole truth and nothing but the truth on, a Readers Digest? I am sure the Pledge of Allegiance is going to have to be changed also.If we convert to another religion do we get more time? Do the bunnies and puppies and zombie ant making mold take over the world or do we implode or what happens to the planet?",1
another week really does start tomorrow... 😞,0
But what makes them any different from ant hills or beaver dams? skyscrapers are natural because humans are a part of nature and they built them.,1
This is correct. It is almost insulting to regard people as either a) Christian OR Catholic - as this also implies that Orthodox are neither,0
"don't have to change locations for that the majority of the nuts are outside of the institions, i've had my fair share.. thieves bold enough to come in while everbody's home..... true..but the gender most affected? males....",0
@PONOS_EN All I want for Christmas is Fate Collab Rerun in 2021. Alongside Blu ray release?,0
"The link takes me to the USA Today site but gives a message ""The requested document was not found"".
 
 Please post the article.",0
"we could make this a little contest i suppose and see who gets the most right. for the primary categories anyway. picture, acting, directing, writing, any others? also definitely say what you think will, and what you think should.",0
Dunno what’s worse us losing or this covid that’s riddled all over me body,0
it's quite obvious that you didn't read any of the responses. and who are you to call anyone blind believers when you think it's anywhere in the realm of easy to shoot a human being at 200 yards with a handgun? at 200 yards you probably can't even hit the broad side of a barn.,1
"Where's the smileys? This is a joke, right?   My sons have owned their own guns since they were 11 years old. Of course I bought them, but I bought their shoes, too.   Maybe my mind ain't right on this one.",1
"And with strict gun control laws too. Wow, who would've believed such a thing were possible.",1
"Because when something passes every experiment thrown at it and when something fits observation better than anything else, then it's as near as damnit fact. We can get pedantic over this if you want, but the conclusion that reaches is that there are no facts. ",0
"Er...
Well, I guess she's hot for being in her 40s. Sounds like Antonia needs a tampon right now.",1
"Ill be the first to agree with the saying ""If you can...and have the place to...you will"" But like anything else..you have to look at the better side of things...It would act like a deterant to allow our responsable citizens to be armed..yes perhaps what you said might take place..but the benefits would outway them..and thats all we can ask for in life.As for our irresponsable citizens...they are already armed.",0
"Actually the Apocrypha is made up of pre-Christian texts, and late 4th century is a bit of a stretch for the new testament, certainly all its component texts were widely accepted by the 2nd century. I don't whether it is ""generally accepted"" that the text was altered, it seems to me that you are projecting your own views based on the hypotheses of some scholars on to Biblical scholarship in general.",0
"@Rosievix @mouthwaite Well, illegal immigrants  categorically don’t get money from the government but why let a little thing like facts get in the way of a good bit of xenophobia...",1
Heading to bed... Ready for the weekend. Finally going to be putting the finishing touches on my basement construction...,0
"Thats true. However, do we not have a state of reasonable compromise at the moment?",0
"And this is merely another piece of evidence that Sport's a XXXXX.   How about the simplistic explanation that people and other organisms have inhabitated the area since the Dinosaurs died?   If you bothered to read your own article:   Really if this is another one of your fresh organic sample = age of decades of time capsule because they were both on top of the ground, you're officially delusional.   Except the picture of the human remains are clearly NOT fossilized",0
"No Doc. Obama will be happy for Reo. It is compassionate, Social justice stuff, and all!",1
"emoticonXRolleyesThe problem with that?What Obama was saying wasn't a lie... The healthcare legislation Obama was talking about clearly forbids providing services to illegal immigrants.And furthermore, the whole ""showed some guts to speak the truth""???ROFLMAO!There are MILLIONS of people saying all sorts of stupid things about the president.9/12 project???I suppose you think those guys were cowering in their closets refusing to ""show some guts to speak"" (what you think is) ""the truth""...",1
Me taking my time and turning in my assignment last minute so my awful professor has no chance of getting ahead on grading: https://t.co/WUWqgbEfvP,0
"anyone who serves in the military is a hero. once you sign on the dotted line and take that oath, you are allowing for the possibility for death by combat at anytime. perhaps others didn't get the recognition she got, but that's not her fault. the media needed a 'darling of enduring freedom' poster child and she got picked.",0
"Both good questions.
And now over to amirsdaddy to avoid them completely.",1
That viability isn't a good basis for determining abortion laws?   That the point in a pregnancy when a fetus is viable is earlier than once believed owing to medical advances?   Do you think this has no realistic limit?,0
"Were they able to show a previously non-existing code that mutated on a gene somewhere and created this new enzyme activity?  It sounds to me that this ""new"" enzymatic activity came from non-coding dna switching on a gene to produce it. That is what one ",0
'whose illegal war? america isn't even there to be at war anymore!' wow. please tell me you're joking?,0
"Is this where you fall to your quaking knees, frothing at the maw, shouting halllalujah hallllaaaaalujahhhhhhh",1
"good questions. its not a condition, i don't agree.  jesus doesn't open the lock to the pearly-gates for some people, he is the gate. do you see what i mean? that's what he said, 'i am the way... no one comes to the father except through me'. i think its like saying you shouldn't put conditions on the way into a house, you should be able to walk in from any spot - and saying that having to go through the door is a condition. why would people not choose heaven? its a hard road.",0
I see I jumped the gun. That was well stated.,0
@bwin Is there a problem with the predictor page? Its not loading so unable to enter my predictions.,0
"<sarcasm mode on> it's sexual assault because when she sobered up and realized what she'd done, the little darling couldn't possibly have been responsible for her own actions.  <sarcasm mode off>",1
Hmm maybe I should take that one to a local patent office...,1
"Now I read this and thought there are two ways I could describe you:
1) You are very poorly read in history.
or
2) Why don't you give a damn about the born? at what point does that defenseless little child become second in your concerns to the unborn?
I'm intrigued, I really am.",1
and i say you and everyone who denies christ is steeped in folly. reckon you'll see the errors of your reckless judgment in due time.,0
"I do and I was joking around. I'd never actually consider having sex with a Christian.emoticonXCry
Besides, a man your age should have learned the difference between love and sex.",1
"I agree that during debate of an issue like this both sides can get pretty nasty. However, you would be hard-pressed to find a place where those that are choice are screaming in your face, interrupting your personal life on an already hard day like this.",0
"We accept your forfiet. Two more to go! Once they post, this thread will be pretty much closed. I predict Penfold will go first, followed by Jo. emoticonXSmilie",1
I predict everyone will now stay away from forums dutch starts. emoticonXFrazzled,1
"So if Jitobear's mother had the option to abort Jitobear in utero, you want Jitobear to have the same option with any children she carries? That's awfully progressive of you.",1
#PostAnUnpopularFoodOpinion salad cream on toast mmmmmmmm,0
i’m ALREADY stressed about whose pov to watch for mcc hahah,0
The French anthem is a banger. Love this gorgeous orchestration! #Olympics,0
"Ah so you forfeit! YEAH, yea have little faith. Make me understand. Answer my valid questions! Or run and pray, but you'd be better off reading a Physics textbookemoticonXKill",1
"Powerful. I was diagnosed with PTSD 1 year ago, now I’m about to move to a new state alone &amp; feeling fearless. Take back your power https://t.co/MSacXYs9FI",0
"i've gotten laid a number of times already winston dearie. and every single time the results are messier than trying to help my cousin change the oil in his car. plus it doesn't help that every single one of them is a bad **** and so full of themselves they don't know how to take a cue. and i can tell you first hand that size does matter. but is has to be the proper size for that saying to actually mean anything. there's such a thing as too big, too small or just plain too ergonomically unsound to work. come back when there's a set of teethmarks in the headboard that don't belong to either you or the dingo. then we'll talk.",0
"Today has been a good day, I didn't fall off a ladder, my model train show tickets came, I got mentioned on @WWFCFancast, they liked my bostocks cup recommendation, and more importantly, they got my name right! Hurrah.",0
"if he’s:
- smooth talkin
- so rockin
- got everythin that a girls wantin
- a cutie
- plays it groovy
- you cant help yourself from doin something stupid 
- think your fallin for his smile
- butterflies when he says your name
- got somethin special
Then:
-he’s probably just tall",0
"This is more of a legal question involving whether or not it was negligence(sp). If so, you can't really sue for amounts of money you MIGHT get in the future. He could sue for lost pay on the job and other medicial procedures. So ya know :). I don't really know what the question is.",0
